twelveMnthPctDate,avgVolume,previousClose,month,high,impliedVolatility,exDividendDate,expirationDate,percentChange,close,unitCode,serverTimestamp,settlement,open,dividendYieldAnnual,fiftyTwoWkLowDate,tradeTimestamp,askSize,twelveMnthPct,fiftyTwoWkHigh,low,dividendRateAnnual,openInterest,symbol,lastTradingDay,lastPrice,exchange,fiftyTwoWkHighDate,bid,previousSettlement,previousTimestamp,fiftyTwoWkLow,flag,sharesOutstanding,ask,bidSize,tick,tradeSize,volume,twentyDayAvgVol,name,year,mode,dayCode,previousLastPrice,netChange
2016-11-23,37540875,12.07,,12.15,,2017-10-20,,0.33,0,2,2017-11-24T13:17:22-06:00,0,12.12,4.95,2017-08-18,2017-11-24T13:58:03-06:00,0,1.68,13.27,12.05,0.6,,F,,12.11,BATS,2017-01-04,0,0,2017-11-22,10.47,,3972300,0,0,.,200,324360,31907852,Ford Motor Company,,i,N,12.07,0.04
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,713668,77.53,,77.84,,2017-11-17,,-0.31,0,2,2017-11-24T13:44:41-06:00,0,77.62,2.37,2017-05-18,2017-11-24T12:59:46-06:00,0,-4.08,85.5,77.22,1.84,,R,,77.29,BATS,2017-10-02,0,0,2017-11-22,62.52,,52950,0,0,.,43,6917,622223,Ryder System,,i,N,77.53,-0.24
2016-11-23,37540887,12.07,,12.15,,2017-10-20,,0.33,0,2,2017-11-24T13:17:22-06:00,0,12.12,4.95,2017-08-18,2017-11-24T13:58:03-06:00,0,1.68,13.27,12.05,0.6,,F,,12.11,BATS,2017-01-04,0,0,2017-11-22,10.47,,3972300,0,0,.,200,324360,31907975,Ford Motor Company,,i,N,12.07,0.04
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,713668,77.53,,77.84,,2017-11-17,,-0.31,0,2,2017-11-24T13:44:41-06:00,0,77.62,2.37,2017-05-18,2017-11-24T12:59:46-06:00,0,-4.08,85.5,77.22,1.84,,R,,77.29,BATS,2017-10-02,0,0,2017-11-22,62.52,,52950,0,0,.,43,6917,622223,Ryder System,,i,N,77.53,-0.24
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,713668,77.53,,77.84,,2017-11-17,,-0.31,0,2,2017-11-24T13:44:41-06:00,0,77.62,2.37,2017-05-18,2017-11-24T12:59:46-06:00,0,-4.08,85.5,77.22,1.84,,R,,77.29,BATS,2017-10-02,0,0,2017-11-22,62.52,,52950,0,0,.,43,6917,622223,Ryder System,,i,N,77.53,-0.24
2016-11-23,713668,77.53,,77.84,,2017-11-17,,-0.31,0,2,2017-11-24T13:44:41-06:00,0,77.62,2.37,2017-05-18,2017-11-24T12:59:46-06:00,0,-4.08,85.5,77.22,1.84,,R,,77.29,BATS,2017-10-02,0,0,2017-11-22,62.52,,52950,0,0,.,43,6917,622223,Ryder System,,i,N,77.53,-0.24
2016-11-23,2417182,28.29,,28.51,,2017-09-28,,0.67,0,2,2017-11-24T13:58:12-06:00,0,28.39,3.52,2017-01-03,2017-11-24T12:59:53-06:00,0,-23.17,39.08,28.21,1,,XRX,,28.48,BATS,2016-12-07,0,0,2017-11-22,25.84,,254590,0,0,.,100,37907,2393634,Xerox Corp,,i,N,28.29,0.19
2016-11-23,713668,77.53,,77.84,,2017-11-17,,-0.31,0,2,2017-11-24T13:44:41-06:00,0,77.62,2.37,2017-05-18,2017-11-24T12:59:46-06:00,0,-4.08,85.5,77.22,1.84,,R,,77.29,BATS,2017-10-02,0,0,2017-11-22,62.52,,52950,0,0,.,43,6917,622223,Ryder System,,i,N,77.53,-0.24
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,713668,77.53,,77.84,,2017-11-17,,-0.31,0,2,2017-11-24T13:44:41-06:00,0,77.62,2.37,2017-05-18,2017-11-24T12:59:46-06:00,0,-4.08,85.5,77.22,1.84,,R,,77.29,BATS,2017-10-02,0,0,2017-11-22,62.52,,52950,0,0,.,43,6917,622223,Ryder System,,i,N,77.53,-0.24
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,37540887,12.07,,12.15,,2017-10-20,,0.33,0,2,2017-11-24T13:17:22-06:00,0,12.12,4.95,2017-08-18,2017-11-24T13:58:03-06:00,0,1.68,13.27,12.05,0.6,,F,,12.11,BATS,2017-01-04,0,0,2017-11-22,10.47,,3972300,0,0,.,200,324360,31907975,Ford Motor Company,,i,N,12.07,0.04
2016-11-23,2417182,28.29,,28.51,,2017-09-28,,0.67,0,2,2017-11-24T13:58:12-06:00,0,28.39,3.52,2017-01-03,2017-11-24T12:59:53-06:00,0,-23.17,39.08,28.21,1,,XRX,,28.48,BATS,2016-12-07,0,0,2017-11-22,25.84,,254590,0,0,.,100,37907,2393634,Xerox Corp,,i,N,28.29,0.19
2016-11-23,713668,77.53,,77.84,,2017-11-17,,-0.31,0,2,2017-11-24T13:44:41-06:00,0,77.62,2.37,2017-05-18,2017-11-24T12:59:46-06:00,0,-4.08,85.5,77.22,1.84,,R,,77.29,BATS,2017-10-02,0,0,2017-11-22,62.52,,52950,0,0,.,43,6917,622223,Ryder System,,i,N,77.53,-0.24
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,37540887,12.07,,12.15,,2017-10-20,,0.33,0,2,2017-11-24T13:17:22-06:00,0,12.12,4.95,2017-08-18,2017-11-24T13:58:03-06:00,0,1.68,13.27,12.05,0.6,,F,,12.11,BATS,2017-01-04,0,0,2017-11-22,10.47,,3972300,0,0,.,200,324360,31907975,Ford Motor Company,,i,N,12.07,0.04
2016-11-23,2417182,28.29,,28.51,,2017-09-28,,0.67,0,2,2017-11-24T13:58:12-06:00,0,28.39,3.52,2017-01-03,2017-11-24T12:59:53-06:00,0,-23.17,39.08,28.21,1,,XRX,,28.48,BATS,2016-12-07,0,0,2017-11-22,25.84,,254590,0,0,.,100,37907,2393634,Xerox Corp,,i,N,28.29,0.19
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,713668,77.53,,77.84,,2017-11-17,,-0.31,0,2,2017-11-24T13:44:41-06:00,0,77.62,2.37,2017-05-18,2017-11-24T12:59:46-06:00,0,-4.08,85.5,77.22,1.84,,R,,77.29,BATS,2017-10-02,0,0,2017-11-22,62.52,,52950,0,0,.,43,6917,622223,Ryder System,,i,N,77.53,-0.24
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
2016-11-23,886187,99.01,,99.68,,2017-10-06,,0.11,0,2,2017-11-24T13:34:54-06:00,0,99.43,1.88,2016-12-01,2017-11-24T12:59:57-06:00,0,8.84,106.5,99.07,1.88,,MKC,,99.12,BATS,2017-06-14,0,0,2017-11-22,88.64,,131000,0,0,.,39,8428,1025514,Mccormick & Company Inc,,i,N,99.01,0.11
